Week,Actual Volatility,Predicted Volatility,Absolute Difference (volatility),Percent Difference (volatility)
2015-W49,0.0197728153053747,,,
2015-W50,0.0240645126232118,,,
2015-W51,0.0307381555528861,,,
2015-W52,0.0264549256855306,,,
2015-W53,0.0169543463265754,,,
2016-W01,0.0440475478450957,,,
2016-W02,0.035105532735389,,,
2016-W03,0.0339336735362465,,,
2016-W04,0.0245390174500331,,,
2016-W05,0.0211072822105774,,,
2016-W06,0.0291484246699183,,,
2016-W07,0.0230604737374014,,,
2016-W08,0.0260540334050279,,,
2016-W09,0.0225453907147298,,,
2016-W10,0.0165397470575142,,,
2016-W11,0.025696376090394,,,
2016-W12,0.0129523099339503,,,
2016-W13,0.0159784794814804,,,
2016-W14,0.0127069954409571,,,
2016-W15,0.0201469682431953,,,
2016-W16,0.0102551022911342,,,
2016-W17,0.0184049333728214,,,
2016-W18,0.0133546917599067,,,
2016-W19,0.0157016369237976,,,
2016-W20,0.0166596096575008,,,
2016-W21,0.0213964147286933,,,
2016-W22,0.0065701964157081,,,
2016-W23,0.0084633938058385,,,
2016-W24,0.0137797234231247,,,
2016-W25,0.0288527306312217,,,
2016-W26,0.0522384091618365,,,
2016-W27,0.0194156347326373,,,
2016-W28,0.0169141205190424,,,
2016-W29,0.0057255846513574,,,
2016-W30,0.0057639160459996,,,
2016-W31,0.0127064380311592,,,
2016-W32,0.007241591999426,,,
2016-W33,0.006516573670757,,,
2016-W34,0.0100817170936812,,,
2016-W35,0.0090889124764368,,,
2016-W36,0.0197455539489846,,,
2016-W37,0.0119527412743348,,,
2016-W38,0.0159885294076867,,,
2016-W39,0.0129222267021688,,,
2016-W40,0.0073889565126014,,,
2016-W41,0.0171970747653422,,,
2016-W42,0.0087598979521886,,,
2016-W43,0.0056835281890938,,,
2016-W44,0.0132958276450186,,,
2016-W45,0.0418957251191172,,,
2016-W46,0.0044228851100664,,,
2016-W47,0.011092799041586,,,
2016-W48,0.0066617386518583,0.017288463190197945,-0.010626724538339644,-88.74016685470477
2016-W49,0.0308013995614669,0.01697138324379921,0.013830016317667691,57.89914468262115
2016-W50,0.007513613757004,0.017539406195282936,-0.010025792438278936,-80.03659804185598
2016-W51,0.0048489318029356,0.01752507872879505,-0.01267614692585945,-113.31135209650711
2016-W52,0.0105980808136513,0.017016787081956863,-0.006418706268305563,-46.487321920713484
2017-W01,0.0089653068024306,0.016504814848303795,-0.0075395080458731945,-59.20276431546453
2017-W02,0.0057953600702145,0.015959836542606354,-0.010164476472391853,-93.44412420894129
2017-W03,0.0051196070292595,0.015299394726753235,-0.010179787697493736,-99.70896539539322
2017-W04,0.0189544257392432,0.01459567155689001,0.0043587541823531875,25.983556136247344
2017-W05,0.0114213780703302,0.014566642232239246,-0.003145264161909047,-24.20549257149898
2017-W06,0.0131702100162777,0.014631117694079876,-0.0014609076778021764,-10.509625245400816
2017-W07,0.0132226081068338,0.014833042398095131,-0.0016104342912613302,-11.480284807357451
2017-W08,0.0054198958541343,0.015106191858649254,-0.009686296004514955,-94.38034310339982
2017-W09,0.0174544289268461,0.01503593847155571,0.002418490455290391,14.887430638345785
2017-W10,0.0052187388361175,0.015310486778616905,-0.010091747942499405,-98.3159144128288
2017-W11,0.0063493288907326,0.015212449245154858,-0.008863120354422258,-82.21140481610341
2017-W12,0.0167852063466731,0.014938564039766788,0.001846642306906312,11.64201029330137
2017-W13,0.0111532311226677,0.01506020501255989,-0.0039069738898921905,-29.80894126002584
2017-W14,0.0111470177386319,0.015167034231126308,-0.004020016492494408,-30.554142684786573
2017-W15,0.0091094666322929,0.015256598591804504,-0.006147131959511604,-50.45650089972057
2017-W16,0.0079254608259735,0.015230822376906872,-0.007305361550933372,-63.09614964481579
2017-W17,0.0136680006207068,0.015077520161867142,-0.001409519541160342,-9.80688123079557
2017-W18,0.0032760177869328,0.015123042277991772,-0.011847024491058972,-128.77858378911208
2017-W19,0.0065499027726731,0.014810440130531788,-0.008260537357858689,-77.34461375729398
2017-W20,0.0193052130744663,0.014449167996644974,0.004856045077821326,28.77282843723879
2017-W21,0.011091694047178,0.014678878709673882,-0.0035871846624958813,-27.839386391147404
2017-W22,0.0117220334999599,0.014892513863742352,-0.003170480363782452,-23.82516839723866
2017-W23,0.0057980642586312,0.015106516890227795,-0.009308452631596595,-89.05658109399303
2017-W24,0.0081100418508838,0.015022557228803635,-0.006912515377919835,-59.76427771135898
2017-W25,0.006531657982743,0.014860663563013077,-0.008329005580270075,-77.8691135738134
2017-W26,0.0085108354103415,0.014589391648769379,-0.006078556238427879,-52.62767524209644
2017-W27,0.0073980428523575,0.014365360140800476,-0.006967317288442976,-64.02782956905568
2017-W28,0.0108629080093673,0.014141709543764591,-0.0032788015343972916,-26.22556835696624
2017-W29,0.0053005096909602,0.014100025407969952,-0.008799515717009751,-90.71415476055608
2017-W30,0.0127057906933805,0.01392367109656334,-0.0012178804031828389,-9.146864572702333
2017-W31,0.0071081899911214,0.01401861198246479,-0.00691042199134339,-65.41853329229055
2017-W32,0.0122262922551583,0.014021755196154118,-0.0017954629409958171,-13.680735257174668
2017-W33,0.0171468580270942,0.014202767051756382,0.0029440909753378174,18.78230420895203
2017-W34,0.0099332635413965,0.014711940661072731,-0.004778677119676231,-38.77977297666253
2017-W35,0.0122713725403429,0.015052717179059982,-0.0027813446387170825,-20.35818698649672
2017-W36,0.0053139233374386,0.015361175872385502,-0.010047252534946902,-97.19181932798456
2017-W37,0.010783614007736,0.015293203294277191,-0.004509589286541191,-34.58696078062441
