Week,Actual Volatility,Predicted Volatility,Absolute Difference (volatility),Percent Difference (volatility)
2015-W49,0.0281673730123197,,,
2015-W50,0.0380683649063475,,,
2015-W51,0.0291663242124407,,,
2015-W52,0.0311469576854353,,,
2015-W53,0.0185811333086049,,,
2016-W01,0.0605466059957536,,,
2016-W02,0.0542375984645949,,,
2016-W03,0.0461351224994992,,,
2016-W04,0.0263529527285832,,,
2016-W05,0.0365576690188357,,,
2016-W06,0.0281879864507272,,,
2016-W07,0.029220268829203,,,
2016-W08,0.0303621997622011,,,
2016-W09,0.0446683057235642,,,
2016-W10,0.0264188855165211,,,
2016-W11,0.0324871201660938,,,
2016-W12,0.029987524071083,,,
2016-W13,0.0387392812763656,,,
2016-W14,0.0189492892370303,,,
2016-W15,0.0365222024951571,,,
2016-W16,0.0121292136731661,,,
2016-W17,0.021192005784186,,,
2016-W18,0.0276275091361466,,,
2016-W19,0.0219630092356689,,,
2016-W20,0.0236981687676262,,,
2016-W21,0.0313979948639547,,,
2016-W22,0.0147404290373461,,,
2016-W23,0.0184356456722265,,,
2016-W24,0.0163994157186342,,,
2016-W25,0.0433678825249847,,,
2016-W26,0.059467290739378,,,
2016-W27,0.0350670229067868,,,
2016-W28,0.0187271339404106,,,
2016-W29,0.0093358988535823,,,
2016-W30,0.0093454696379437,,,
2016-W31,0.0219889284698455,,,
2016-W32,0.007611387499521,,,
2016-W33,0.0123758374477962,,,
2016-W34,0.0132589987696505,,,
2016-W35,0.0124636170882238,,,
2016-W36,0.0311146515497485,,,
2016-W37,0.0172309357981141,,,
2016-W38,0.0291163877294176,,,
2016-W39,0.0110912738373108,,,
2016-W40,0.0126487120883793,,,
2016-W41,0.0328454887641737,,,
2016-W42,0.0100350059273637,,,
2016-W43,0.0355639557209188,,,
2016-W44,0.0296169634931286,,,
2016-W45,0.0815424808292752,,,
2016-W46,0.0178635443925409,,,
2016-W47,0.0211653137201208,,,
2016-W48,0.0205109715883056,0.02218702621757984,-0.00167605462927424,-7.850741090455602
2016-W49,0.0475412974454802,0.021936262026429176,0.02560503541905102,73.70735418362948
2016-W50,0.0153194415085409,0.02238311804831028,-0.00706367653976938,-37.47054111335947
2016-W51,0.0146186886067592,0.02207288146018982,-0.00745419285343062,-40.631637402429924
2016-W52,0.0172269610476421,0.02140025608241558,-0.00417329503477348,-21.60805434531829
2017-W01,0.017612915845611,0.020682064816355705,-0.003069148970744704,-16.028988226088227
2017-W02,0.0154413947769691,0.020010774955153465,-0.0045693801781843645,-25.777718050605703
2017-W03,0.0114302584229198,0.019352445378899574,-0.007922186955979774,-51.47167712741037
2017-W04,0.0279471934854451,0.018634341657161713,0.009312851828283387,39.98516493616023
2017-W05,0.0187254916011964,0.01847492903470993,0.00025056256648646816,1.3470953403393613
2017-W06,0.0235766016590851,0.018320990726351738,0.005255610932733364,25.087889940712483
2017-W07,0.0087341638352647,0.018347658216953278,-0.009613494381688577,-70.99592016484164
2017-W08,0.016509544927436,0.017996611073613167,-0.0014870661461771663,-8.619135357366098
2017-W09,0.0185851151615495,0.01773715764284134,0.0008479575187081596,4.66907741855655
2017-W10,0.0189568140797446,0.017609883099794388,0.001346930979950211,7.366981892495833
2017-W11,0.0236235737990713,0.017575019970536232,0.006048553828535069,29.362913998278867
2017-W12,0.0359137333710778,0.017741059884428978,0.01817267348664882,67.73923589681783
2017-W13,0.0313395997775142,0.018390335142612457,0.012949264634901744,52.07834941147662
2017-W14,0.0199832612850276,0.01908803917467594,0.0008952221103516594,4.582504804389365
2017-W15,0.0191162511569018,0.019387496635317802,-0.0002712454784160011,-1.408930267670262
2017-W16,0.0243911703998064,0.019431356340646744,0.004959814059159656,22.63591092560707
2017-W17,0.0188067099636935,0.01950617879629135,-0.00069946883259785,-3.6513500038054896
2017-W18,0.014909885557941,0.01940552145242691,-0.00449563589448591,-26.201850924441132
2017-W19,0.0104632879272122,0.01909969188272953,-0.008636403955517331,-58.42715457670472
2017-W20,0.0345989719729848,0.018574155867099762,0.01602481610588504,60.27411497807256
2017-W21,0.0103282418543464,0.018747614696621895,-0.008419372842275495,-57.91315435551707
2017-W22,0.0345081072599333,0.018483495339751244,0.016024611920182057,60.479816174789356
2017-W23,0.0268782208873426,0.018800124526023865,0.008078096361318735,35.369478855750806
2017-W24,0.0174968464757281,0.019136488437652588,-0.0016396419619244887,-8.951639078459074
2017-W25,0.0130657051296495,0.019158657640218735,-0.006092952510569235,-37.81581379332361
2017-W26,0.0130003520366832,0.018880609422922134,-0.005880257386238935,-36.88883344179877
2017-W27,0.0146567163298517,0.018471609801054,-0.003814893471202301,-23.0310064935237
2017-W28,0.0152893447257914,0.018081393092870712,-0.0027920483670793115,-16.73351294928755
2017-W29,0.0133429750760607,0.01775287464261055,-0.0044098995665498505,-28.363267808706716
2017-W30,0.0174425036369406,0.01742367446422577,1.8829172714830006e-05,0.10800824030781923
2017-W31,0.0186230741834785,0.017253603786230087,0.0013694703972484124,7.6343210951955145
2017-W32,0.0385609439042279,0.017217842862010002,0.0213431010422179,76.52766321958286
2017-W33,0.0308152192315178,0.017890211194753647,0.012925008036764152,53.07419695768657
2017-W34,0.0157818345185557,0.018625494092702866,-0.0028436595741471657,-16.5293830641457
2017-W35,0.027511395698267,0.018852373585104942,0.008659022113162058,37.352537323869214
2017-W36,0.0111193779078278,0.019178802147507668,-0.008059424239679867,-53.200715191212375
2017-W37,0.0118271532635786,0.0189953800290823,-0.007168226765503698,-46.512898193287135
2017-W38,0.0082538778168101,0.018594840541481972,-0.010340962724671872,-77.03133227197883
