Week,Actual Volatility,Predicted Volatility,Absolute Difference (volatility),Percent Difference (volatility)
2016-W48,0.0097688916023365,0.018018675968050957,-0.008249784365714457,-59.37752086300676
2016-W49,0.0384124597820077,0.017714012414216995,0.020698447367790702,73.75645237572216
2016-W50,0.012219248534896,0.01810453087091446,-0.00588528233601846,-38.81628511577128
2016-W51,0.0130134691719516,0.018035436049103737,-0.005021966877152137,-32.34875330642297
2016-W52,0.0122329576565088,0.01774166151881218,-0.00550870386230338,-36.75578882309113
2017-W01,0.017744798368755,0.0172998309135437,0.0004449674552113002,2.5394330847497733
2017-W02,0.0139684756159334,0.016971725970506668,-0.0030032503545732673,-19.413256543806614
2017-W03,0.0083351323169895,0.016617268323898315,-0.008282136006908816,-66.38348050036869
2017-W04,0.0227479801343979,0.016103193163871765,0.006644786970526135,34.20636447456828
2017-W05,0.0209796471395197,0.01598115637898445,0.004998490760535247,27.04752215699418
2017-W06,0.0193094698854572,0.016049165278673172,0.003260304606784028,18.441348720900002
2017-W07,0.0057958112102195,0.016184860840439796,-0.010389049630220297,-94.52895349401916
2017-W08,0.0115377457480927,0.015929818153381348,-0.0043920724052886485,-31.980065076342264
2017-W09,0.0156143064766874,0.015637047588825226,-2.2741112137826536e-05,-0.14553681155801468
2017-W10,0.0133251440917956,0.015460914000868797,-0.002135769909073198,-14.838918911356327
2017-W11,0.0188863395289402,0.015299245715141296,0.003587093813798903,20.986002071852383
2017-W12,0.0208562993686453,0.01533509697765112,0.005521202390994181,30.511132193766173
2017-W13,0.0235268738100368,0.01555199921131134,0.007974874598725458,40.81425067897386
2017-W14,0.0116344357248842,0.01595212146639824,-0.004317685741514039,-31.302824136956538
2017-W15,0.0190534507592454,0.016061119735240936,0.0029923310240044625,17.043244339123078
2017-W16,0.0184314252725494,0.016219886019825935,0.0022115392527234656,12.764534271521736
2017-W17,0.0118152955519733,0.01636996865272522,-0.004554673100751919,-32.319534545946524
2017-W18,0.009586469025522,0.016295984387397766,-0.006709515361875766,-51.84605380977193
2017-W19,0.0112244249032444,0.01602279394865036,-0.0047983690454059605,-35.22098215959596
2017-W20,0.0275464341378791,0.01569684036076069,0.01184959377711841,54.80433160764056
2017-W21,0.0098538019645588,0.01587003283202648,-0.006016230867467682,-46.775536501784
2017-W22,0.0269158736596163,0.015781987458467484,0.011133886201148815,52.15196222760344
2017-W23,0.0171544515900142,0.016088271513581276,0.0010661800764329224,6.41451708459832
2017-W24,0.0126398744484733,0.01629764586687088,-0.0036577714183975794,-25.280475856516553
2017-W25,0.0147109562564807,0.016297103837132454,-0.0015861475806517537,-10.230550223801057
2017-W26,0.0103060786908812,0.0162301454693079,-0.0059240667784267,-44.64890515444368
2017-W27,0.0187690533864635,0.015985185280442238,0.002783868106021263,16.020308387144528
2017-W28,0.0142204987860588,0.015914982184767723,-0.0016944833987089236,-11.245769731362937
2017-W29,0.0117924142676395,0.015811758115887642,-0.004019343848248142,-29.12127769964728
2017-W30,0.0162660130109737,0.015625568106770515,0.000640444904203185,4.016388537392689
2017-W31,0.0100123366855411,0.015541515313088894,-0.005529178627547794,-43.27471746994721
2017-W32,0.0295966614839075,0.015330247581005096,0.014266413902902404,63.509438774386155
2017-W33,0.0255862426039374,0.015671102330088615,0.009915140273848783,48.064849009086416
2017-W34,0.0099717172564274,0.01619921438395977,-0.00622749712753237,-47.59094718601497
2017-W35,0.0227038427687,0.016317566856741905,0.006386275911958096,32.73216407740561
2017-W36,0.0143911534166113,0.016580913215875626,-0.002189759799264326,-14.140223997629297
2017-W37,0.0084504998288622,0.016637949272990227,-0.008187449444128027,-65.26867731751102
2017-W38,0.0040752962081808,0.01638278178870678,-0.01230748558052598,-120.31907965546323
2017-W39,0.0181999849231715,0.015819747000932693,0.0023802379222388065,13.993278533463826
2017-W40,0.0104899853468584,0.015545224770903587,-0.005055239424045187,-38.83386691468531
2017-W41,0.0056283540790348,0.015224451199173927,-0.009596097120139127,-92.03651012045934
2017-W42,0.0102212621864888,0.014759737998247147,-0.0045384758117583465,-36.335421145639124
2017-W43,0.0133998327261152,0.014383045956492424,-0.0009832132303772244,-7.077835537558793
2017-W44,0.0080441496456224,0.01418287307024002,-0.006138723424617621,-55.23657849358917
2017-W45,0.0142177819608826,0.013945532962679863,0.0002722489982027367,1.9333590448542208
2017-W46,0.0164233299193017,0.013894502073526382,0.0025288278457753187,16.68211530675104
2017-W47,0.0106415555432769,0.014029216021299362,-0.0033876604780224626,-27.462947149060096
2017-W48,0.0233147142282618,0.014093643054366112,0.009221071173895687,49.299524725069205
2017-W49,0.0205829902213212,0.014503495767712593,0.006079494453608607,34.65433646167211
2017-W50,0.0103596224357444,0.015009807422757149,-0.004650184987012749,-36.65975162192639
2017-W51,0.0038930798791883,0.015222898684442043,-0.011329818805253744,-118.53768058528395
2017-W52,0.0046944058808175,0.015039616264402866,-0.010345210383585365,-104.84644546819872
2018-W01,0.0134191374138863,0.014648154377937317,-0.0012290169640510173,-8.757645541056773
2018-W02,0.0169368505560111,0.014419610612094402,0.0025172399439166993,16.055637977905054
2018-W03,0.0102918571080629,0.014415576122701168,-0.004123719014638268,-33.380391853117985
2018-W04,0.0082567486945747,0.014351597055792809,-0.006094848361218109,-53.91680071169325
2018-W05,0.0286433006374387,0.014197648502886295,0.014445652134552404,67.438525170093
2018-W06,0.0594982628041778,0.01462678425014019,0.04487147855403761,121.06967978355898
2018-W07,0.0468844550960129,0.01638038642704487,0.03050406866896803,96.43292525391182
2018-W08,0.0100919961515605,0.01844942197203636,-0.008357425820475863,-58.563493827002866
2018-W09,0.0334858478700263,0.019343793392181396,0.014142054477844904,53.538332420824474
2018-W10,0.0300046735329904,0.020228371024131775,0.009776302508858626,38.923790485132024
2018-W11,0.016302807492531,0.020886868238449097,-0.0045840607459180956,-24.6523297437597
2018-W12,0.0447016295098346,0.020902851596474648,0.02379877791335995,72.55229372150677
2018-W13,0.0195505134654222,0.02147267572581768,-0.001922162260395481,-9.371101068884917
2018-W14,0.0325474403825707,0.021472685039043427,0.011074755343527275,41.00233110194197
2018-W15,0.0141659687239097,0.02158590778708458,-0.007419939063174879,-41.507969859389775
2018-W16,0.0187893221782718,0.02113128826022148,-0.0023419660819496806,-11.733117586255393
2018-W17,0.0208198848112543,0.020535917952656746,0.00028396685859755424,1.3732866471902059
2018-W18,0.0173646342704988,0.01995411515235901,-0.002589480881860208,-13.877640177696554
