Week,Actual Volatility
2015-W49,0.023210544910035172
2015-W50,0.030953531157374974
2015-W51,0.030326775609670453
2015-W52,0.027026763179307255
2015-W53,0.016342303207730464
2016-W01,0.04611664333690592
2016-W02,0.0360648404801085
2016-W03,0.037461790616831026
2016-W04,0.02227672051718983
2016-W05,0.025937577272417193
2016-W06,0.02527630247865255
2016-W07,0.024000713532215577
2016-W08,0.02606047145945653
2016-W09,0.030007739793288697
2016-W10,0.01804745767502059
2016-W11,0.02088983462950517
2016-W12,0.013771658451920304
2016-W13,0.018534529001196832
2016-W14,0.013380217904505025
2016-W15,0.020191791525133108
2016-W16,0.01096891582658572
2016-W17,0.01711137774253081
2016-W18,0.014860351719776344
2016-W19,0.013575991738467713
2016-W20,0.015054797268980308
2016-W21,0.023775145818218116
2016-W22,0.006137265645980889
2016-W23,0.010782304563847205
2016-W24,0.013091460466990243
2016-W25,0.03524657299413758
2016-W26,0.05411965533803356
2016-W27,0.022110670437020533
2016-W28,0.01327293275350877
2016-W29,0.006485273259167597
2016-W30,0.005586215617803709
2016-W31,0.012680421156547389
2016-W32,0.00493515915307237
2016-W33,0.007438012121692971
2016-W34,0.01004754245863796
2016-W35,0.00834325687001675
2016-W36,0.025278946443009976
2016-W37,0.014003969194317215
2016-W38,0.018591906380335116
2016-W39,0.010685845275029733
2016-W40,0.006422803110659438
2016-W41,0.01897022547574584
2016-W42,0.00808872793439076
2016-W43,0.010364959946973331
2016-W44,0.020606982144012163
2016-W45,0.029650268088043965
2016-W46,0.011677405017460845
2016-W47,0.0078455752942082
2016-W48,0.009602296690759118
2016-W49,0.027264474585404135
2016-W50,0.008311232150019929
2016-W51,0.005321284083077875
2016-W52,0.014705848702528643
2017-W01,0.012436489199434238
2017-W02,0.006052432488069503
2017-W03,0.0036848040002997197
2017-W04,0.017635993432302922
2017-W05,0.01065085911801198
2017-W06,0.012768467609869409
2017-W07,0.0110407227135469
2017-W08,0.004255005112100578
2017-W09,0.01421097791349251
2017-W10,0.005215098200586301
2017-W11,0.009508677397632585
2017-W12,0.015558469963458058
2017-W13,0.016142366895821405
2017-W14,0.008857928854665078
2017-W15,0.01054013734557308
2017-W16,0.007839643419025448
2017-W17,0.008652055735885527
2017-W18,0.004878462693127922
2017-W19,0.004914809987206864
2017-W20,0.020329663371033795
2017-W21,0.011978042436673827
2017-W22,0.01325544418027203
2017-W23,0.005053678839330618
2017-W24,0.00764359059980017
2017-W25,0.006833509835401786
2017-W26,0.010937491765653593
2017-W27,0.00903303191157781
2017-W28,0.014227539996295788
2017-W29,0.008349611412437976
2017-W30,0.006191012251634473
2017-W31,0.002718346933000347
2017-W32,0.018998741591690873
2017-W33,0.02021774150247721
2017-W34,0.01015087371060982
2017-W35,0.019369614957491236
2017-W36,0.005225146663347006
2017-W37,0.006636453122247147
2017-W38,0.003620738034569342
2017-W39,0.00891500339490929
2017-W40,0.010909521619093306
2017-W41,0.0037824412267854777
2017-W42,0.007630045972972896
2017-W43,0.009249669073993232
2017-W44,0.005268385851439853
2017-W45,0.006418203752780175
2017-W46,0.008044210876642309
2017-W47,0.009301568786547582
2017-W48,0.017938656925506394
2017-W49,0.011446725987193145
2017-W50,0.01630987391981017
2017-W51,0.0057305121295659345
2017-W52,0.0052948159432763394
2018-W01,0.019447606961912774
2018-W02,0.015339206641169745
2018-W03,0.008845252589137032
2018-W04,0.01348276745389923
2018-W05,0.028279429576620062
2018-W06,0.06039517118520255
2018-W07,0.0402508573832049
2018-W08,0.013734065244842148
2018-W09,0.0448191995738479
2018-W10,0.028515417414104693
2018-W11,0.017448293521155685
2018-W12,0.046835926121431955
2018-W13,0.023791342906948263
2018-W14,0.03526598700805868
2018-W15,0.01677550410913959
2018-W16,0.017020074828034783
2018-W17,0.02036326704043992
2018-W18,0.020536916575521154
2018-W19,0.025939575727018813
2018-W20,0.009737468628151549
2018-W21,0.008754081284179404
2018-W22,0.016058535254976563
2018-W23,0.01311013952595225
2018-W24,0.006201658240627174
2018-W25,0.00894199067734127
2018-W26,0.01354854914481836
2018-W27,0.018185027530343678
2018-W28,0.010063883985997335
2018-W29,0.006749221454120534
2018-W30,0.014196765761448063
2018-W31,0.011957191803403903
2018-W32,0.009956632619433275
2018-W33,0.011773825617635444
2018-W34,0.007095578932441958
2018-W35,0.007501552775439248
2018-W36,0.009475068515753126
2018-W37,0.01105328307773125
2018-W38,0.01593804889009286
2018-W39,0.00550763876957172
2018-W40,0.018129703028055465
2018-W41,0.0630956606228127
2018-W42,0.021397934302189198
2018-W43,0.04351798407973799
2018-W44,0.036233768403629976
2018-W45,0.031869801268347035
2018-W46,0.01988582413229244
2018-W47,0.032600042727345194
2018-W48,0.038621584764705105
2018-W49,0.06678393908245583
2018-W50,0.02557171556774619
2018-W51,0.06039601914152227
2018-W52,0.06069524789964397
2019-W01,0.02743222678598067
2019-W02,0.019987666530321663
2019-W03,0.03302681791162418
2019-W04,0.01505401350892242
2019-W05,0.031456190259511484
2019-W06,0.017467573605977685
2019-W07,0.02060869150110813
2019-W08,0.007087782363985394
2019-W09,0.0076798761959925585
2019-W10,0.02710308551123872
2019-W11,0.02237294522624569
2019-W12,0.014976931191802986
2019-W13,0.012305485132847535
2019-W14,0.011582824266732898
2019-W15,0.008826571642079534
2019-W16,0.0057365607712743785
2019-W17,0.01151523742934278
2019-W18,0.012952393920976867
2019-W19,0.02452991820919104
2019-W20,0.02513446586757139
2019-W21,0.0174899034293695
2019-W22,0.025840447638324864
2019-W23,0.04509122134940181
2019-W24,0.006877472287060062
