Week,Actual Volatility
2015-W49,0.02314375085919323
2015-W50,0.030306494357724378
2015-W51,0.031128752648015092
2015-W52,0.026487760378057147
2015-W53,0.016414389949073186
2016-W01,0.04549177753449775
2016-W02,0.03565815609029963
2016-W03,0.03695822617996583
2016-W04,0.02301388222744587
2016-W05,0.026381722338498143
2016-W06,0.025541536892702412
2016-W07,0.02373770575616136
2016-W08,0.026209676101936114
2016-W09,0.030408435668307525
2016-W10,0.018069876403371703
2016-W11,0.020612525785721175
2016-W12,0.013675203926922794
2016-W13,0.01847523837365702
2016-W14,0.01380281825599477
2016-W15,0.02019040382593753
2016-W16,0.01152477897167036
2016-W17,0.016462044531842943
2016-W18,0.014550235466696875
2016-W19,0.013797985317084933
2016-W20,0.01489386982467493
2016-W21,0.02369163476509224
2016-W22,0.006050481826824861
2016-W23,0.010524657818974995
2016-W24,0.012915736452090208
2016-W25,0.03547488952573144
2016-W26,0.054356686006309364
2016-W27,0.02120419412355876
2016-W28,0.013551782756455194
2016-W29,0.006293523660586932
2016-W30,0.0056048883464186895
2016-W31,0.012645199785844125
2016-W32,0.004872429455110215
2016-W33,0.007226667962106031
2016-W34,0.010049533712886355
2016-W35,0.00825173890090995
2016-W36,0.026714713649555445
2016-W37,0.01442998326488932
2016-W38,0.018621964062099528
2016-W39,0.010814933219465825
2016-W40,0.006312667021079527
2016-W41,0.019061609642980565
2016-W42,0.008230650391143613
2016-W43,0.010371377411393948
2016-W44,0.0201917297475111
2016-W45,0.03037529687104774
2016-W46,0.011460641326464462
2016-W47,0.008099018263274952
2016-W48,0.009519533326054564
2016-W49,0.027314152469529784
2016-W50,0.008241541695197448
2016-W51,0.005199351342180063
2016-W52,0.014513771249335517
2017-W01,0.012170523375474763
2017-W02,0.005939440947323119
2017-W03,0.0036097272019767882
2017-W04,0.01771226672262054
2017-W05,0.010619560721485316
2017-W06,0.012812566914937026
2017-W07,0.011317917472720844
2017-W08,0.004223875859829313
2017-W09,0.014022505518678723
2017-W10,0.005208849214698803
2017-W11,0.009505302394716907
2017-W12,0.015994567472496047
2017-W13,0.015724496500254186
2017-W14,0.008745011373730516
2017-W15,0.010773342910005665
2017-W16,0.008402356245855006
2017-W17,0.008349742860202878
2017-W18,0.004868497771817636
2017-W19,0.004844652539944261
2017-W20,0.02090639249807617
2017-W21,0.011633064917252729
2017-W22,0.013083903312259162
2017-W23,0.004901964340774407
2017-W24,0.007734684394776746
2017-W25,0.007090297701127732
2017-W26,0.010934849130306156
2017-W27,0.008612125343285043
2017-W28,0.014227155546585223
2017-W29,0.008250541416230672
2017-W30,0.006172735823927413
2017-W31,0.0028402282800182766
2017-W32,0.018986939721824473
2017-W33,0.020022833578632812
2017-W34,0.010220173380120892
2017-W35,0.019360685560277834
2017-W36,0.005132057793290484
2017-W37,0.00694923802085493
2017-W38,0.0036753659322943445
2017-W39,0.008559981613237585
2017-W40,0.010844951675875163
2017-W41,0.0037663653336621914
2017-W42,0.0078176904184743
2017-W43,0.009122353474032086
2017-W44,0.0052778729480263955
2017-W45,0.006398797271675819
2017-W46,0.007778793791428997
2017-W47,0.009018373256012032
2017-W48,0.0181715884872217
2017-W49,0.011296875948811305
2017-W50,0.00786369835362592
2017-W51,0.005149416530790472
2017-W52,0.005519573526513333
2018-W01,0.019547884985055646
2018-W02,0.015166988065375876
2018-W03,0.008465801091044898
2018-W04,0.013827833726403536
2018-W05,0.026860113277601166
2018-W06,0.061306553478900405
2018-W07,0.04015459088048121
2018-W08,0.012998778694381216
2018-W09,0.04522733720933166
2018-W10,0.026993665214169165
2018-W11,0.017369157957985354
2018-W12,0.04644701464872995
2018-W13,0.023894144755745104
2018-W14,0.03539387781394799
2018-W15,0.01640076573193322
2018-W16,0.017119720293841505
2018-W17,0.021118862080678553
2018-W18,0.020568417540183133
2018-W19,0.02601241784513473
2018-W20,0.009951830776874082
2018-W21,0.4556655259503298
2018-W22,0.01645347656701789
2018-W23,0.013157003492948547
2018-W24,0.006306351317977644
2018-W25,0.009028320932879022
2018-W26,0.013691737024171098
2018-W27,0.018414478446140355
2018-W28,0.01011072640248319
2018-W29,0.006840292188954811
2018-W30,0.013733553094712279
2018-W31,0.012289182060664757
2018-W32,0.010033020777238498
2018-W33,0.011973703785939553
2018-W34,0.007209123774553752
2018-W35,0.0075629205822138985
2018-W36,0.009555669320651322
2018-W37,0.011170548439517045
2018-W38,0.015791411238366717
2018-W39,0.005625438466427204
2018-W40,0.01846995368294226
2018-W41,0.06307591980682753
2018-W42,0.021100851175943174
2018-W43,0.04328040383375391
2018-W44,0.036106848679491876
2018-W45,0.031223000591481698
2018-W46,0.020897886418870745
2018-W47,0.031738800574360515
2018-W48,0.038967627475526324
2018-W49,0.06695897128952287
2018-W50,0.025576527580304875
2018-W51,0.06041855758028694
2018-W52,0.06096742184254736
2019-W01,0.027388771236237865
2019-W02,0.019488749005435357
2019-W03,0.032234843823490726
2019-W04,0.01511372398001985
2019-W05,0.03172874342103195
2019-W06,0.01734805655487971
2019-W07,0.020735011753555136
2019-W08,0.0070815117471680995
2019-W09,0.007686185914436187
2019-W10,0.0272828497329913
2019-W11,0.01996557136447512
2019-W12,0.015023493105826666
2019-W13,0.012203874550600704
2019-W14,0.011361032128511
2019-W15,0.008812037652956274
2019-W16,0.005621850101577105
2019-W17,0.011447324333623774
2019-W18,0.013006115569127247
2019-W19,0.024775176883412627
2019-W20,0.02528433352042237
2019-W21,0.01773226347652915
2019-W22,0.025892804781492654
2019-W23,0.04497459647417254
2019-W24,0.007017857570878583
