Week,Actual Volatility
2018-W16,0.015644535022327904
2018-W17,0.038172613459867534
2018-W18,0.018973612952723845
2018-W19,0.025113344285904678
2018-W20,0.029078050935235463
2018-W21,0.02610752487398859
2018-W22,0.010360813497719074
2018-W23,0.0102144863450752
2018-W24,0.027808018188127885
2018-W25,0.0175271059244759
2018-W26,0.016888422592172922
2018-W27,0.02133335821337133
2018-W28,0.016796891156064607
2018-W29,0.01884890357723723
2018-W30,0.03631360251546417
2018-W31,0.017198888682859712
2018-W32,0.01982855015467627
2018-W33,0.03174277950892245
2018-W34,0.024193413087255887
2018-W35,0.020471027753286727
2018-W36,0.03275696408682691
2018-W37,0.03635093495607903
2018-W38,0.02255538577792089
2018-W39,0.01445366726930993
2018-W40,0.05647649664174013
2018-W41,0.08608510885976713
2018-W42,0.04333208728883925
2018-W43,0.08584159242429731
2018-W44,0.09279219333137777
2018-W45,0.03411375763725338
2018-W46,0.023817293818449166
2018-W47,0.032628597069569845
2018-W48,0.03536466254383396
2018-W49,0.1113362755900941
2018-W50,0.03782968965014961
2018-W51,0.06755989511367663
2018-W52,0.04797130772496899
2019-W01,0.029547854095414168
2019-W02,0.02876805907503811
2019-W03,0.04939256600968246
2019-W04,0.042969868599959694
2019-W05,0.0324556152015932
2019-W06,0.028763943498734353
2019-W07,0.041568420634132165
2019-W08,0.013964625552967791
2019-W09,0.03595057927442337
2019-W10,0.058308901930793904
2019-W11,0.024688359988370375
2019-W12,0.014724542849544029
2019-W13,0.019608064657992773
2019-W14,0.04056378342289875
2019-W15,0.014051142302346338
2019-W16,0.01883338972627102
2019-W17,0.026896890866809967
2019-W18,0.01607859691734997
2019-W19,0.05621151553131409
2019-W20,0.029521058356544443
2019-W21,0.038739551961468555
2019-W22,0.02437612480588698
2019-W23,0.04676604504732188
2019-W24,0.024150043108190265
2019-W25,0.04863481614960617
2019-W26,0.023071964991579215
2019-W27,0.023162036786911113
2019-W28,0.023432993978223408
2019-W29,0.015607090675517219
2019-W30,0.020256380871680146
2019-W31,0.06552814666666076
2019-W32,0.038790495067426385
2019-W33,0.03978521379056144
2019-W34,0.03013904100673151
2019-W35,0.030011790801949823
2019-W36,0.05419171214089969
2019-W37,0.05087899190213995
2019-W38,0.015985176285572156
2019-W39,0.01692875705395906
2019-W40,0.047131224456868064
2019-W41,0.03237408214923433
2019-W42,0.02568371400423151
2019-W43,0.019671742078911113
2019-W44,0.0254564953883744
2019-W45,0.01576193076605721
2019-W46,0.011973560978341674
2019-W47,0.017584138515059702
2019-W48,0.012919402727385367
2019-W49,0.03358537825110189
2019-W50,0.034219536618489595
2019-W51,0.018590450442859032
2019-W52,0.009634090971697021
2020-W01,0.014553277010820915
2020-W02,0.02490202363025588
2020-W03,0.00809748492444692
2020-W04,0.011162325509707418
2020-W05,0.02838143952631031
2020-W06,0.03712786610107458
2020-W07,0.02366829478636986
2020-W08,0.02747440673247763
2020-W09,0.0851693760437812
2020-W10,0.05351110079509053
2020-W11,0.19847203603048155
2020-W12,0.07667763617717084
2020-W13,0.15880677666451834
2020-W14,0.09889893275347958
2020-W15,0.057801284500172356
2020-W16,0.04186122188730456
2020-W17,1.2375534249310862
2020-W18,0.05860764356666392
2020-W19,0.06381376242110318
2020-W20,0.04685844458225634
2020-W21,0.033529000236373174
2020-W22,0.035632512263606704
2020-W23,0.027349600464009027
2020-W24,0.0612742235327741
2020-W25,0.049363973388196244
2020-W26,0.029248313214559254
2020-W27,0.02166827878827793
2020-W28,0.01301710179517132
2020-W29,0.03446190555897955
2020-W30,0.01907533943983678
2020-W31,0.029212636262230165
2020-W32,0.02900859367793764
2020-W33,0.030072196760898277
2020-W34,0.03129572603001942
2020-W35,0.010919669820596849
2020-W36,0.057932468884494256
2020-W37,0.021982634162485644
2020-W38,0.02156197027706916
2020-W39,0.024706960246468002
2020-W40,0.024023800843243345
2020-W41,0.030209286221156404
2020-W42,0.023615426791923723
2020-W43,0.013061609990181506
2020-W44,0.03141759328971959
2020-W45,0.04402977934744731
2020-W46,0.02180744369833476
2020-W47,0.009916252044491949
2020-W48,0.017849515997851964
2020-W49,0.014884052346701988
2020-W50,0.04905469583309337
2020-W51,0.015783124742103364
2020-W52,0.018142292748238534
2020-W53,0.008221257918927301
2021-W01,0.026835854509831968
2021-W02,0.022432618110296888
2021-W03,0.012843055939906884
2021-W04,0.03225249562524594
2021-W05,0.01298578423326325
2021-W06,0.018151520540915525
2021-W07,0.025772715576321697
2021-W08,0.0342074772599329
2021-W09,0.06160849445400244
2021-W10,0.03207552768203245
2021-W11,0.013650259093864272
2021-W12,0.03495337087326206
2021-W13,0.02818669957403399
2021-W14,0.008602589243837033
2021-W15,0.02008623843456556
2021-W16,0.020507168631262226
2021-W17,0.01938828123658752
2021-W18,0.027661360731799867
2021-W19,0.03889023073247806
2021-W20,0.023444224114431797
2021-W21,0.01927820745880384
2021-W22,0.0163756877217156
2021-W23,0.009510750725910436
2021-W24,0.012398484408807347
2021-W25,0.01919417631719335
2021-W26,0.012960566195926572
2021-W27,0.018405176314350437
2021-W28,0.03599836440236546
2021-W29,0.031625914228242034
2021-W30,0.01937073979964458
2021-W31,0.007059798999521318
2021-W32,0.018680833184475117
2021-W33,0.007852142301118374
2021-W34,0.020997985058287223
2021-W35,0.03573135837429289
2021-W36,0.01118593284342832
2021-W37,0.008229263431832457
2021-W38,0.02310602684737502
2021-W39,0.04641332308780839
2021-W40,0.023608953505650086
2021-W41,0.04522771366800317
2021-W42,0.014076733137955535
2021-W43,0.016491232261485734
